pbi_dataset_entity_id,pbi_dataset_id,dataset_name,entity_id,entity_name
1,1,CustomerCard,52,fact_BillingDocumentItem
2,1,CustomerCard,49,dim_Customer
3,1,CustomerCard,54,dim_Product
4,1,CustomerCard,62,dim_SalesOrganization
5,1,CustomerCard,50,fact_SalesDocumentItem
6,2,Invoiced Products Master Data,52,fact_BillingDocumentItem
7,2,Invoiced Products Master Data,54,dim_Product
8,3,Orderbook,49,dim_Customer
9,3,Orderbook,54,dim_Product
10,3,Orderbook,62,dim_SalesOrganization
11,3,Orderbook,50,fact_SalesDocumentItem
12,4,Product Top Flop,52,fact_BillingDocumentItem
13,4,Product Top Flop,49,dim_Customer
14,4,Product Top Flop,54,dim_Product
15,4,Product Top Flop,62,dim_SalesOrganization
16,5,PVM,52,fact_BillingDocumentItem
17,5,PVM,49,dim_Customer
18,5,PVM,54,dim_Product
19,5,PVM,62,dim_SalesOrganization
20,6,Quotations,49,dim_Customer
21,6,Quotations,54,dim_Product
22,6,Quotations,62,dim_SalesOrganization
23,6,Quotations,50,fact_SalesDocumentItem
24,7,Sales View,52,fact_BillingDocumentItem
25,7,Sales View,49,dim_Customer
26,7,Sales View,54,dim_Product
27,7,Sales View,62,dim_SalesOrganization
28,8,Whale curve,52,fact_BillingDocumentItem
29,8,Whale curve,49,dim_Customer
30,8,Whale curve,54,dim_Product
31,8,Whale curve,62,dim_SalesOrganization
32,9,Fin View,52,fact_BillingDocumentItem
33,9,Fin View,49,dim_Customer
34,9,Fin View,54,dim_Product
35,9,Fin View,62,dim_SalesOrganization
36,10,Fin View (Legacy),62,dim_SalesOrganization
37,10,Fin View (Legacy),52,fact_BillingDocumentItem
38,10,Fin View (Legacy),383,fact_BillingDocumentItem_US
39,10,Fin View (Legacy),379,fact_BillingBudget_axbi
40,10,Fin View (Legacy),65,dim_CustomerCalculated
41,10,Fin View (Legacy),66,dim_ProductCalculated
42,10,Fin View (Legacy),380,dim_CustomerCalculated_US
43,10,Fin View (Legacy),381,dim_ProductCalculated_US
44,11,OTIF,51,fact_OutboundDeliveryItem
45,11,OTIF,50,fact_SalesDocumentItem
46,11,OTIF,49,dim_Customer
47,11,OTIF,54,dim_Product
48,12,Stock Management,49,dim_Customer
49,12,Stock Management,54,dim_Product
50,12,Stock Management,64,fact_MaterialDocumentItem
