pbi_dataset_id,workspace_guid,workspace_name,dataset_guid,dataset_name,schedule_recurrence
1,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,39b580a7-f100-4e95-ad79-f034b40ec4e0,Customer Card,D
2,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,77faf36c-bd7b-4a3a-bee8-e6945ba7646a,Invoiced Products Master Data,D
3,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,dc5aa88d-199f-41b3-a81d-20998a9b2b92,Orderbook,D
4,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,aa40a0cd-b7c2-489d-9e48-86d25912969f,Product Top Flop,D
5,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,6b84bea0-6175-4997-aea5-6387b4fd5aef,PVM,D
6,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,34d4ef6e-6bd0-4c0c-914f-376d1376e9d2,Quotations,D
7,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,ee1251af-8e46-40df-8f5c-e902b2c67813,Sales View,D
8,4a9fc391-9b5a-41ff-844e-6299c32bc537,Leviat_Data_Analytics_Sales_QAS,ba7c4d9d-9237-4c59-913d-c35b622c1975,Whale curve,D
9,d1432fdd-d0da-4bd1-b6f2-f715c83a0d2e,Leviat_Data_Analytics_FinSales_QAS,f64e0f28-fa57-428a-9f3e-161a103b547c,Fin View,D
10,d1432fdd-d0da-4bd1-b6f2-f715c83a0d2e,Leviat_Data_Analytics_FinSales_QAS,3613ec93-0181-4a67-a57b-2f2174aa2b4b,Fin View (Legacy),D
11,764c8b1e-c170-46d6-99b2-272d545f773f,Leviat_Data_Analytics_SCM_QAS,a8c7f74b-408b-4606-8f84-09bbfaa85e88,OTIF,D
12,764c8b1e-c170-46d6-99b2-272d545f773f,Leviat_Data_Analytics_SCM_QAS,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,Stock Management,
