SAPAccount;SAPAccountName;Category;Status
0015310001;Prepayments for old-age and disability insurance;Insurance;Compliant
0015310003;Prepayment for accident insurance;Insurance;Compliant
0015310005;Prepayments for sick leave insurance;Insurance;Compliant
0015311100;Prepaid insurance;Insurance;Compliant
0015360104;Other receivables - returns adv payment travel exp;Travel;Compliant
0021311201;Other insurance costs accr. - property ins. ;Insurance;Compliant
0021311202;Other insurance costs accr. - credit ins. customer;Insurance;Compliant
0021380200;Accrued group auditor fees;Lawyers, consultancy & Management fees;Compliant
0021380300;Accrued other auditor fees;Lawyers, consultancy & Management fees;Compliant
0021380400;Accrued other professional fees;Lawyers, consultancy & Management fees;Compliant
0021390124;VAT, sales and use tax - Import VAT payable;Tax;Compliant
0021393204;Other accruals - related to insurance costs;Insurance;Compliant
0021393207;Other accruals - transport, warehouse & stockyard;Transport ;Compliant
0021393209;Other accruals - rent & operational lease costs;Leasing;Compliant
0021393212;Other accruals -  consultancy and audit fees;Lawyers, consultancy & Management fees;Compliant
0021393220;Other accurals - employees - life insurance;Insurance;Compliant
0022100101;Insurance provision - trade association (BG) PY;Insurance;Compliant
0022100102;Insurance provision - trade association (BG) CY;Insurance;Compliant
0025100100;Lease liabilities - Land and building ;Leasing;Compliant
0025100150;Lease liabilities - Land and building -  manual;Leasing;Compliant
0025200100;Lease liabilities - Machinery and equipment ;Leasing;Compliant
0025200101;Lease Liabilities - Acc.P.C - Plant & Machinery;Leasing;Compliant
0025200102;Lease liabilities - CARS;Leasing;Compliant
0025200105;Lease liabilities - Computer Equipment;Leasing;Compliant
0025200106;Lease liabilities - Transport (e.g. Forklifts) ;Leasing;Compliant
0025200107;Lease liabilities - Furniture and Fittings;Leasing;Compliant
0025200108;Lease Liabilities - Cars - short term;Leasing;Compliant
0025200150;Lease liabilities - Machinery and equipment - manual;Leasing;Compliant
0025200151;Lease liabilities - CARS - manual;Leasing;Compliant
0025200152;Lease liabilities - Computer Equipment - manual;Leasing;Compliant
0025200153;Lease liabilities - Transport (e.g. Forklifts) - manual;Leasing;Compliant
0025200154;Lease liabilities - Furniture and Fittings - manual;Leasing;Compliant
0025300200;Lease Liabilities - technical AP clearing account;Leasing;Compliant
0035600100;IC admin fees payable / receivable;Lawyers, consultancy & Management fees;Compliant
0050108115;Wages & salaries - other - transportation;Transport ;Compliant
0050707100;Accident insurance;Insurance;Compliant
0050707101;Sick leave insurance;Insurance;Compliant
0050707102;Social insurances on accruals;Insurance;Compliant
0050707350;Rent & Operational Lease - Comp Cars - Installment;Leasing;Compliant
0050707351;Rent & Operational Lease - Comp Cars - Insurance;Leasing;Compliant
0050707351;Rent & Operational Lease - Comp Cars - Insurance;Insurance;Compliant
0050707352;Rent & Operational Lease - Comp Cars - Maintenance;Leasing;Compliant
0050707353;Rent & Operational Lease - Comp Cars - fuel ;Leasing;Compliant
0050707354;Rent & Operational Lease - Comp Cars - other fees;Leasing;Compliant
0050707354;Rent & Operational Lease - Comp Cars - other fees;Lawyers, consultancy & Management fees;Compliant
0050707355;Rent & Operational Lease - Comp Cars- priv contrib;Leasing;Compliant
0050707356;Rent & Operational Lease - Comp Cars - car tax;Leasing;Compliant
0050707360;Set-Off IFRS Rent & Oper. Lease - Comp Cars Inst.;Leasing;Compliant
0052901200;Cost of sales transport (non standard costing) -OM;Transport ;Compliant
0055000100;External Transport Costs;Transport ;Compliant
0055000110;External Outbound Transport - Prov freight charges;Transport ;Compliant
0055000120;External Outbound Transport - Transp Costs accrual;Transport ;Compliant
0055000130;External Outbound Transport - Customs;Transport ;Compliant
0055000140;External Outbound Transport - Logistic & Warehouse;Transport ;Compliant
0055000150;External Inbound Transport Costs;Transport ;Compliant
