MaterialGroupID;EClassCode;EClassCategory;EClassCategoryDescription;Category_L1;Category_L2;Category_L3;Category_L4
1AAAA;22000000;Bldg comp & mfg mats;Building components & manufacturing materials (L1);Building components & manufacturing materials;Building components & manufacturing materials (L1);Building components & manufacturing materials (L1);Building components & manufacturing materials (L1)
1ABAA;35020089;Bldg comp & mfg mats;Aluminium / aluminum (L2);Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum (L2);Aluminium / aluminum (L2)
1ABBA;35021602;Bldg comp & mfg mats;Aluminium / aluminum billet (L3);Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum billet;Aluminium / aluminum billet (L3)
1ABCAA;35020100;Bldg comp & mfg mats;Aluminium / aluminum extrusion (L3);Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum extrusion;Aluminium / aluminum extrusion (L3)
1ABCAB;35020100;Bldg comp & mfg mats;Round Bars;Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum extrusion;Aluminium / aluminum extrusion (L3)
1ABEA;35021200;Bldg comp & mfg mats;Aluminium / aluminum parts (L3);Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum parts;Aluminium / aluminum parts (L3)
1ABFA;35020501;Bldg comp & mfg mats;Aluminium / aluminum sheet (L3);Building components & manufacturing materials;Aluminium / aluminum;Aluminium / aluminum sheet;Aluminium / aluminum sheet (L3)
1ACAA;22150000;Bldg comp & mfg mats;Civils & drainage (L2);Building components & manufacturing materials;Civils & drainage;Civils & drainage (L2);Civils & drainage (L2)
1ACBA;22150402;Bldg comp & mfg mats;Covers (L3);Building components & manufacturing materials;Civils & drainage;Covers;Covers (L3)
1ACBB;22150489;Bldg comp & mfg mats;Covers, cast (L4);Building components & manufacturing materials;Civils & drainage;Covers;Covers, cast (L4)
1ACBC;22150488;Bldg comp & mfg mats;Covers, composite (L4);Building components & manufacturing materials;Civils & drainage;Covers;Covers, composite (L4)
1ACBD;22150487;Bldg comp & mfg mats;Covers, ductile (L4);Building components & manufacturing materials;Civils & drainage;Covers;Covers, ductile (L4)
1ACCA;22150500;Bldg comp & mfg mats;Dewatering (L3);Building components & manufacturing materials;Civils & drainage;Dewatering;Dewatering (L3)
1ACCB;22140101;Bldg comp & mfg mats;Concrete pipe (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Concrete pipe (L4)
1ACCC;22149290;Bldg comp & mfg mats;Dewatering accessories (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Dewatering accessories (L4)
1ACCD;22140105;Bldg comp & mfg mats;Dewatering, plastic pipe (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Dewatering, plastic pipe (L4)
1ACCE;22150301;Bldg comp & mfg mats;Drainage channel (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Drainage channel (L4)
1ACCF;22140107;Bldg comp & mfg mats;Metal pipe (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Metal pipe (L4)
1ACCG;22150406;Bldg comp & mfg mats;Shaft (L4);Building components & manufacturing materials;Civils & drainage;Dewatering;Shaft (L4)
