Region;CountryCode;SAPShippingPoint;WarehouseName;Type;SAPCode;WarehouseType;Address;Zipcode;City;LogisticsAreaInM2;FTELogistics;FullAddress
Europe;AT;Velox Express (ATS1);Velox Express;3PL;ATS1;3PL warehouse;Wagner-Schönkirch-Gasse 3;1230;Wien;;;Austria Wagner-Schönkirch-Gasse 3 1230 Wien
APAC;AU;;Leviat Casino;Leviat;;Central warehouse;10 Irving Drive;NSW 2470;Casino;;;Australia 10 Irving Drive NSW 2470 Casino
APAC;AU;;Leviat Sydney;Leviat;;Central warehouse;Unit 4/98 Kurrajong Ave;NSW 2770;Mt Druitt;;;Australia Unit 4/98 Kurrajong Ave NSW 2770 Mt Druitt
APAC;AU;;Leviat Perth;Leviat;;Local warehouse;18 Tennant Street;WA 6106  ;Welshpool;;;Australia 18 Tennant Street WA 6106   Welshpool
APAC;AU;;Leviat Sydney;Leviat;;Local warehouse;Unit 1/98 Kurrajong Ave;NSW 2770;Mt Druitt;;;Australia Unit 1/98 Kurrajong Ave NSW 2770 Mt Druitt
APAC;AU;;Leviat Melbourne;Leviat;;Local warehouse;9/63-69 Pipe Road;VIC 3026 ;Laverton North;;;Australia 9/63-69 Pipe Road VIC 3026  Laverton North
APAC;AU;;Leviat Brisbane;Leviat;;Local warehouse;4/15 Terrace Place;QLD 4172  ;Murrarie;;;Australia 4/15 Terrace Place QLD 4172   Murrarie
Europe;BE;;Leviat Ternat;Leviat;;Central warehouse;Industrielaan 21;1730;Ternat;20700;22;Belgium Industrielaan 21 1730 Ternat
Europe;BE;;Leviat ETS;Leviat;;Central warehouse;Kasteelstraat 160;9255;Buggenhout;1000;4;Belgium Kasteelstraat 160 9255 Buggenhout
Europe;BE;;Leviat Techno coating & PAS;Leviat;;Central warehouse;Kasteelstraat 47;1840;Londerzeel;500;2;Belgium Kasteelstraat 47 1840 Londerzeel
Europe;CH;Leviat Lyss (CH01);Leviat Lyss;Leviat;CH01;Central warehouse;Grenzstrasse 24;3250;Lyss;2200;;Switzerland Grenzstrasse 24 3250 Lyss
Europe;CH;;Fissinox;Subcon;CHS1;Subcontractor;Via Girella 14b;6814;Lamone;;;Switzerland Via Girella 14b 6814 Lamone
Europe;CH;;Haesag;Subcon;CHS2;Subcontractor;Industriestrasse 5;3661;Uetendorf;;;Switzerland Industriestrasse 5 3661 Uetendorf
Europe;CH;;Haenni Galvanik;Subcon;CHS3;Subcontractor;Schwadernaustrasse 29;2558;Aegerten;;;Switzerland Schwadernaustrasse 29 2558 Aegerten
