RuleID;DataArea;RuleClass;RuleGroup;RuleBusinessDescription;RuleTechnicalDefinition;FieldNameChecked;RAGStatus
1.2_ZFER;Material;Consistency;ZFER;Gross Weight for ZFER is derived from Net Weight plus Packaging.  Gross weight should be between 100 - 120% of Net weight or the same.;Gross weight (BGREW) should be equal or bigger than 100% of Nett weight (NTGEW) and smaller than 120%. ;Gross Wt. (MARA-BRGEW) & Net Wt. (MARA-NTGEW);G
1.2_ZHAW;Material;Consistency;ZHAW;Gross Weight for ZHAW is derived from Net Weight plus Packaging.  Gross weight should be between 100 - 120% of Net weight or the same.;Gross weight (BGREW) should be equal or bigger than 100% of Nett weight (NTGEW) and smaller than 120%. ;Gross Wt. (MARA-BRGEW) & Net Wt. (MARA-NTGEW);R
1.3_ZERS;Material;Uniqueness;ZERS;Check on duplicate names/descriptions of ZERS materials;If (MARA-MTART= ZERS), then MAKT-MAKTX (language specific i.e IN combination with SPRAS) is not existing already in MAKT;Material Description (MARA-MAKTX);R
1.3_ZFER;Material;Uniqueness;ZFER;Check on duplicate names/descriptions of ZFER materials;If (MARA-MTART= ZFER), then MAKT-MAKTX (language specific i.e IN combination with SPRAS) is not existing already in MAKT;Material Description (MARA-MAKTX);R
1.3_ZROH;Material;Uniqueness;ZROH;Check on duplicate names/descriptions of ZROH materials;If (MARA-MTART= ZROH), then MAKT-MAKTX (language specific i.e IN combination with SPRAS) is not existing already in MAKT;Material Description (MARA-MAKTX);R
1.14_ALL;Material;Consistency;ALL;Materials that have sales views need an entry in Account Assignment Group MVKE-KTGRM;For a specific Material no, If Maintenance status (MSTA-STATM) = V (i.e. Sales View Exits),  fetch the   Material (MATNR) & Sales Org (VKORG)& Ditrbution Channel (VTWEG) combination from the table MSTA, then in Table MVKE check for the same combination whether  (MVKE-KTGRM)  ≠ Null ;Sales Org (VKORG) & Distribution Channel (VTWEG);R
1.15_ALL;Material;Consistency;ALL;Materials with procurement type F AND X needs purchasing view;If (MARC-BESKZ) = F and X, for a specifc Material (MATNR) , then fetch the MATNR & Plant (WERKS) combination from MARC, then for the same MATNR & WERKS combination,  Maintenance status (MSTA-PSTAT) = E, in table MSTA.;Procurement Type (MARC-BESKZ);R
1.24_;Material;;;For FERT Materials, Processing time for goods receipt in days is always 'empty'  in Production plants. Excluding Aerospace FERT materials (see remarks) - When description starts with AER or Brand is ANA;For FERT Materials, If Procurement Type (MARC-BESKZ) = 'E' (In-House Production) and (MARC-SOBSL)=Null for a Material (MATNR) & PLANT (WERKS) combination, then  for the same combination (MARC-WEBAZ) = Null or 0;Processing time for goods receipt in days;
1.26_ALL;Material;Consistency;ALL;If X-Plant material status is 70 (deactivated), MRP Type should be ND (no planning) in all Plants;If (MARA-MSTAE= 70)  then (MARC-DISMM) = ND;MRP Type (MARC-DISMM);R
1.19_ALL;Material;Conformity;ALL;Industry sector is always A (Plant engin./construction) for all material types;For all Material (MATNR),  (MARA-MBRSH) = A;Industry sector;R
