OldProductHierarchyNode;NewProductHierarchyNode
AACCT-BOH000500012;AACCT-BOH000500002
AACCT-BOH000701560;AACCT-BOH000700019
AACCT-BOH000701561;AACCT-BOH000700020
AATTHLCIH0406;AATTHLCIH0411
AATTHLCIH040601328;AATTHLCIH041101913
AATTHLCIK001000027;AATTHLCIK001000025
AATTHLCIK001100028;AATTHLCIK001100026
AATTHLXXK001200029;AATTHLXXK001200025
AATTHLXXK001300030;AATTHLXXK001300025
AATTHLXXK0014;AATTHLXXK0011
AATTHLXXK001400031;AATTHLXXK001100025
AATTHLXXK001500032;AATTHLXXK001500025
AATTRINGI001600033;AATTRINGI001600196
ACASCHANC002001511;ACASCHANC002000061
ACASCHANC0473;ACASCHANC0368
ACASCHANC047301452;ACASCHANC036801351
ACASCHANH002700080;ACASCHANH002700044
ACASCHANH002700083;ACASCHANH002700045
ACASCHANH002700092;ACASCHANH002700046
ACASCHANS002800094;ACASCHANS002800053
ACASCURTP003100104;ACASCURTP003100101
ACHASTANL003601562;ACHASTANL003600114
ACONRESTC0045010149;ACONRESTC004500149
AFIIACCE2005900208;AFIIACCE2005900193
AFIIACCE2005901539;AFIIACCE2005900193
AFIIACCE2006000033;AFIIACCE2006000196
AFIIACCE2006000202;AFIIACCE2006000194
AFIIACCE2006000203;AFIIACCE2006000195
AFIIACCE2006000204;AFIIACCE2006000196
AFIIACCE2006000205;AFIIACCE2006000197
AFIIACCE2006000206;AFIIACCE2006000198
AFIIACCE2006000208;AFIIACCE2006000193
AFIIACCE2006100033;AFIIACCE2006100196
AFIIACCE2006100209;AFIIACCE2006100194
AFIIACCE2006100210;AFIIACCE2006100195
AFIIACCE2006100211;AFIIACCE2006100211
AFIIACCE2006100212;AFIIACCE2006100197
AFIIACCE2006100213;AFIIACCE2006100198
AFIIACCE2006200033;AFIIACCE2006200196
AFIIACCE2006200208;AFIIACCE2006200193
AFIIACCE2006200214;AFIIACCE2006200194
AFIIACCE2006200215;AFIIACCE2006200195
AFIIACCE2006200216;AFIIACCE2006200196
AFIIACCE2006200217;AFIIACCE2006200197
AFIIACCE2006200218;AFIIACCE2006200195
AFIIACCE2006200219;AFIIACCE2006200199
AFIIACCE2006200220;AFIIACCE2006200193
AFIIACCE2006201538;AFIIACCE2006200198
AFIIACCE2006300033;AFIIACCE2006300196
AFIIACCE2006300221;AFIIACCE2006300196
AFIIACCE2006300222;AFIIACCE2006300197
AFIIACCE2006400033;AFIIACCE2006400196
AFIIACCE2006400223;AFIIACCE2006400194
AFIIACCE2006400224;AFIIACCE2006400195
AFIIACCE2006400225;AFIIACCE2006400196
AFIIACCE2006400226;AFIIACCE2006400197
AFIIACCE2006500033;AFIIACCE2006500196
AFIIACCE2006500227;AFIIACCE2006500195
AFIIACCE2006500228;AFIIACCE2006500196
AFIIACCE2006500229;AFIIACCE2006500197
AFIIACCE2006500230;AFIIACCE2006500198
AFIIACCE2006500231;AFIIACCE2006500199
AFIIACCE2006500232;AFIIACCE2006500200
AFIIACCE2006500233;AFIIACCE2006500201
AFIIACCEA0467;AFIIACCEA0138
AFIIACCEA046701446;AFIIACCEA013801917
AFIIACCET006600033;AFIIACCET006600196
AFIIACCET006600208;AFIIACCET006600193
AFIIACCET006600235;AFIIACCET006600194
AFIIACCET006600236;AFIIACCET006600195
AFIIACCET006600237;AFIIACCET006600196
AFIIACCET006600238;AFIIACCET006600199
AFIIACCET006600239;AFIIACCET006600193
AFIIBARX1006700240;AFIIBARX1006700195
AFIIBARX1006800240;AFIIBARX1006800195
AFIIBARX1006800241;AFIIBARX1006800195
AFIIBARX1006800242;AFIIBARX1006800196
AFIIBARXB0458;AFIIBARX10067
AFIIBARXB045801436;AFIIBARX1006700195
AFIIBARXB0459;AFIIBARX10068
AFIIBARXB045901437;AFIIBARX1006800195
AFIIBARXB045901438;AFIIBARX1006800196
AFIIBOLT1006900033;AFIIBOLT1006900196
AFIIBOLT1006900243;AFIIBOLT1006900195
AFIIBOLT1006900244;AFIIBOLT1006900196
AFIIBOLT1006900245;AFIIBOLT1006900197
AFIIBOLT1006900246;AFIIBOLT1006900198
