SalesOrganizationID,MaterialID,InvoiceDate,Currency,NetAmount
044,DUMMY_US_I.8.,1/1/2022,USD,2220000
044,DUMMY_US_I.8.,2/1/2022,USD,2220000
044,DUMMY_US_I.8.,3/1/2022,USD,2730000
044,DUMMY_US_I.8.,4/1/2022,USD,2460000
044,DUMMY_US_I.8.,5/1/2022,USD,2460000
044,DUMMY_US_I.8.,6/1/2022,USD,2850000
044,DUMMY_US_I.8.,7/1/2022,USD,2370000
044,DUMMY_US_I.8.,8/1/2022,USD,2370000
044,DUMMY_US_I.8.,9/1/2022,USD,2880000
044,DUMMY_US_I.8.,10/1/2022,USD,2400000
044,DUMMY_US_I.8.,11/1/2022,USD,2400000
044,DUMMY_US_I.8.,12/1/2022,USD,2640000
045,DUMMY_US_A.1.,1/1/2022,USD,150000
045,DUMMY_US_A.1.,2/1/2022,USD,150000
045,DUMMY_US_A.1.,3/1/2022,USD,180000
045,DUMMY_US_A.1.,4/1/2022,USD,160000
045,DUMMY_US_A.1.,5/1/2022,USD,160000
045,DUMMY_US_A.1.,6/1/2022,USD,190000
045,DUMMY_US_A.1.,7/1/2022,USD,160000
045,DUMMY_US_A.1.,8/1/2022,USD,160000
045,DUMMY_US_A.1.,9/1/2022,USD,190000
045,DUMMY_US_A.1.,10/1/2022,USD,160000
045,DUMMY_US_A.1.,11/1/2022,USD,160000
045,DUMMY_US_A.1.,12/1/2022,USD,180000
045,DUMMY_US_H.8.,1/1/2022,USD,2960000
045,DUMMY_US_H.8.,2/1/2022,USD,2960000
045,DUMMY_US_H.8.,3/1/2022,USD,3640000
045,DUMMY_US_H.8.,4/1/2022,USD,3280000
045,DUMMY_US_H.8.,5/1/2022,USD,3280000
045,DUMMY_US_H.8.,6/1/2022,USD,3800000
045,DUMMY_US_H.8.,7/1/2022,USD,3160000
045,DUMMY_US_H.8.,8/1/2022,USD,3160000
045,DUMMY_US_H.8.,9/1/2022,USD,3840000
045,DUMMY_US_H.8.,10/1/2022,USD,3200000
045,DUMMY_US_H.8.,11/1/2022,USD,3200000
045,DUMMY_US_H.8.,12/1/2022,USD,3520000
045,DUMMY_US_H.3.,1/1/2022,USD,1300000
