source_DataAreaID,BrandID,Brand
5300,,Halfen
5302,,Halfen
5303,,Halfen
5307,,Halfen
5308,,Halfen
5309,,Halfen
5310,,Halfen
5311,,Halfen
5313,,Halfen
5314,,Halfen
5315,,Halfen
5316,,Halfen
5317,,Halfen
5320,,Halfen
5321,,Halfen
5325,,Halfen
5327,,Halfen
ANAC,,Ancon
ANAH,,Ancon
ANAT,,Ancon
ANAU,,Ancon
ANCH,,Ancon
ANDE,,Ancon
ANME,,Ancon
ANNZ,,Ancon
ANUK,,Ancon
ASCH,,Aschwanden
HLAU,,Ancon
HLNZ,,Ancon
HMIN,,Moment
HMMY,,Moment
HMPH,,Moment
HMSG,,Moment
ISAU,,Isedio
ISUK,,Isedio
PLBE,,Plaka
PLFR,,Plaka
