XRefType|source_XRefID|target_XRefID
PROJECTS-TO|L293881-002|917899
PROJECTS-TO|L296368-001|917906
PROJECTS-TO|L296577-002|917913
PROJECTS-TO|L297680-001|917920
PROJECTS-TO|L298463-001|917927
PROJECTS-TO|L298874-001|917934
PROJECTS-TO|L299096-001|917941
PROJECTS-TO|L299511-003|917948
PROJECTS-TO|L300115-001|917955
PROJECTS-TO|L300547-001|917962
PROJECTS-TO|L300844-002|917969
PROJECTS-TO|L335321-001|918669
PROJECTS-TO|L335430-002|918676
PROJECTS-TO|L335601-001|918683
PROJECTS-TO|L335859-001|918690
PROJECTS-TO|L336157-001|918697
PROJECTS-TO|L336255-002|918704
PROJECTS-TO|L336766-001|918711
PROJECTS-TO|L336864-001|918718
PROJECTS-TO|L337133-001|918725
PROJECTS-TO|L337528-001|918732
PROJECTS-TO|L337783-001|918739
PROJECTS-TO|K336899-001|917379
PROJECTS-TO|K338334-002|917386
PROJECTS-TO|K339334-001|917393
PROJECTS-TO|K339519-001|917399
PROJECTS-TO|K339717-001|917405
PROJECTS-TO|K339931-001|917411
PROJECTS-TO|K340552-001|917418
PROJECTS-TO|K342088-001|917425
PROJECTS-TO|K342447-002|917432
PROJECTS-TO|K343017-001|917439
PROJECTS-TO|K343285-002|917446
PROJECTS-TO|L320144-001|918287
PROJECTS-TO|L320398-001|918294
PROJECTS-TO|L320926-001|918301
PROJECTS-TO|L321144-002|918308
PROJECTS-TO|L321175-001|918315
PROJECTS-TO|L321417-001|918322
PROJECTS-TO|L321878-001|918329
PROJECTS-TO|L322170-001|918336
PROJECTS-TO|L322373-001|918343
PROJECTS-TO|L322647-001|918350
PROJECTS-TO|L322825-001|918357
PROJECTS-TO|M316733-001|919362
PROJECTS-TO|M321208-001|919369
PROJECTS-TO|M322765-002|919376
PROJECTS-TO|M324377-001|919383
PROJECTS-TO|M325637-001|919390
PROJECTS-TO|M326911-001|919397
PROJECTS-TO|M327585-001|919404
PROJECTS-TO|M328095-001|919411
PROJECTS-TO|M328544-002|919418
PROJECTS-TO|M329440-001|919425
PROJECTS-TO|M330392-001|919432
PROJECTS-TO|N280446-001|919814
PROJECTS-TO|N282711-002|919821
PROJECTS-TO|N284579-001|919828
PROJECTS-TO|N286508-001|919835
PROJECTS-TO|N287322-001|919842
PROJECTS-TO|N289730-002|919849
PROJECTS-TO|N291118-002|919856
PROJECTS-TO|N292147-001|919863
PROJECTS-TO|N293797-003|919870
PROJECTS-TO|N295450-002|922658
PROJECTS-TO|N298430-001|919881
PROJECTS-TO|N299543-002|919891
PROJECTS-TO|N300532-002|919898
PROJECTS-TO|N301663-001|919905
PROJECTS-TO|N303851-002|919912
PROJECTS-TO|N304513-001|919919
PROJECTS-TO|N305499-001|922660
PROJECTS-TO|N306602-001|919932
PROJECTS-TO|N307471-002|919939
PROJECTS-TO|N308602-001|919946
PROJECTS-TO|N309444-002|919953
PROJECTS-TO|N310368-002|919960
PROJECTS-TO|N350662-001|920856
PROJECTS-TO|N350791-001|920863
PROJECTS-TO|N350951-001|920870
PROJECTS-TO|N351068-001|920877
PROJECTS-TO|N351338-001|920884
PROJECTS-TO|N351648-001|920891
PROJECTS-TO|N351721-001|920898
PROJECTS-TO|N351945-001|920905
PROJECTS-TO|N352169-001|920912
PROJECTS-TO|N352272-002|920919
PROJECTS-TO|N352492-001|920926
PROJECTS-TO|K359677-001|917601
PROJECTS-TO|K360383-001|917608
PROJECTS-TO|K361154-001|917615
PROJECTS-TO|K363192-001|917622
PROJECTS-TO|K363962-001|917629
PROJECTS-TO|K364720-001|917636
PROJECTS-TO|K365518-001|917643
PROJECTS-TO|K367899-001|917650
PROJECTS-TO|K368784-002|917657
PROJECTS-TO|K369925-001|917664
PROJECTS-TO|K371441-001|917671
PROJECTS-TO|L319971-003|918281
PROJECTS-TO|L320225-001|918288
PROJECTS-TO|L320446-001|918295
PROJECTS-TO|L320936-001|918302
PROJECTS-TO|L321154-001|918309
PROJECTS-TO|L321181-001|918316
PROJECTS-TO|L321417-002|918323
PROJECTS-TO|L321907-001|918330
PROJECTS-TO|L322170-002|918337
PROJECTS-TO|L322460-001|918344
PROJECTS-TO|L322666-001|918351
PROJECTS-TO|N361776-001|921237
PROJECTS-TO|N362136-001|921244
PROJECTS-TO|N362336-001|921250
PROJECTS-TO|N362855-001|921257
PROJECTS-TO|N363155-001|921264
PROJECTS-TO|N363297-001|921271
PROJECTS-TO|N363511-001|921277
PROJECTS-TO|N363820-001|921284
PROJECTS-TO|N364133-001|921291
PROJECTS-TO|N364225-001|921298
PROJECTS-TO|N364310-001|921305
