XRefType|source_XRefID|target_XRefID
CONTACT|A20042740_5637421078|80000999
CONTACT|A20043698_5637437576|80001006
CONTACT|A20044362_5637448826|80001014
CONTACT|A20045060_5637460827|80001021
CONTACT|A20045622_5637474576|80001028
CONTACT|A20046087_5637483828|80001036
CONTACT|A20046544_5637492579|80001043
CONTACT|A20047245_5637505326|80001050
CONTACT|A20047605_5637510583|80001057
CONTACT|A13000001_C2015362|80000062
CONTACT|A13000001_C2034779|80000069
CONTACT|A20043864_C2159465|80001010
SHIP-TO|I5333_5302S017027|30034215
SHIP-TO|I5332_5302S017185|30038158
SHIP-TO|D12832_SO/2002156|30003613
SHIP-TO|D15178_SO/2100791|30003620
SHIP-TO|D16118_SO/2100628|30003627
SHIP-TO|D17991_SO/2002130|30003634
SHIP-TO|D18939_SO/2100384|30003641
SHIP-TO|D19266_SO/2100738|30003648
SHIP-TO|D19561_SO/2100117|30003655
SHIP-TO|E11780_SO/2100434|30003799
SHIP-TO|C11983_VA-181817|30001644
SHIP-TO|C11985_VA-181856|30001651
SHIP-TO|C11985_VA-182315|30001658
SHIP-TO|C11985_VA-182716|30001665
SHIP-TO|C11985_VA-183123|30001672
SHIP-TO|C11985_VA-183567|30001679
SHIP-TO|C11985_VA-184050|30001686
SHIP-TO|C11985_VA-184250|30001693
SHIP-TO|C11985_VA-184683|30001700
SHIP-TO|C11985_VA-185413|30001707
SHIP-TO|C11985_VA-185867|30001714
PROJECTS-TO|L293881-002|917899
PROJECTS-TO|L296368-001|917906
PROJECTS-TO|L296577-002|917913
PROJECTS-TO|L297680-001|917920
PROJECTS-TO|L298463-001|917927
PROJECTS-TO|L298874-001|917934
PROJECTS-TO|L299096-001|917941
PROJECTS-TO|L299511-003|917948
PROJECTS-TO|L300115-001|917955
PROJECTS-TO|L300547-001|917962
PROJECTS-TO|L300844-002|917969
PROJECTS-TO|L335321-001|918669
PROJECTS-TO|L335430-002|918676
PROJECTS-TO|L335601-001|918683
PROJECTS-TO|L335859-001|918690
PROJECTS-TO|L336157-001|918697
PROJECTS-TO|L336255-002|918704
PROJECTS-TO|L336766-001|918711
PROJECTS-TO|L336864-001|918718
PROJECTS-TO|L337133-001|918725
PROJECTS-TO|L337528-001|918732
PROJECTS-TO|L337783-001|918739
SHIP-TO|F20035918_5317S02652|30034013
SHIP-TO|F20040947_5317S02669|30034020
SHIP-TO|F20042542_5317S02638|30034027
SHIP-TO|F20045166_5317S02632|30034034
SHIP-TO|F20045505_5317S02670|30034041
SHIP-TO|F20045952_5317S02659|30034048
SHIP-TO|F20047080_5317S02643|30034055
SHIP-TO|F20047289_5317S02653|30034062
SHIP-TO|F20047397_5317S02664|30034069
SHIP-TO|G20022114_5300S67659|30034076
SHIP-TO|H11010250_5303S24369|30034085
SHIP-TO|K15008107_5315S02897|30034943
SHIP-TO|K15008236_5315S02906|30034950
SHIP-TO|K15008375_5315S02861|30034957
SHIP-TO|K15008425_5315S02837|30034964
SHIP-TO|K15008425_5315S02905|30034971
SHIP-TO|K15008497_5315S02872|30034978
SHIP-TO|K15008548_5315S02896|30034985
SHIP-TO|K20003294_5315S02910|30034992
SHIP-TO|K20003540_5315S02862|30034999
SHIP-TO|K20004136_5315S02879|30035006
SHIP-TO|K20005525_5315S02858|30035013
SHIP-TO|F20036289_5317S02702|30034015
SHIP-TO|F20041700_5317S02645|30034022
SHIP-TO|F20042801_5317S02667|30034029
SHIP-TO|F20045166_5317S02690|30034036
SHIP-TO|F20045597_5317S02653|30034043
SHIP-TO|F20046361_5317S02642|30034050
SHIP-TO|F20047168_5317S02647|30034057
SHIP-TO|F20047293_5317S02677|30034064
SHIP-TO|F20047437_5317S02685|30034071
SHIP-TO|H11010250_5303S23765|30034080
SHIP-TO|H11010250_5303S24478|30034087
SHIP-TO|K15008170_5315S02833|30034945
SHIP-TO|K15008334_5315S02818|30034952
SHIP-TO|K15008384_5315S00674|30034959
SHIP-TO|K15008425_5315S02852|30034966
SHIP-TO|K15008425_5315S02910|30034973
SHIP-TO|K15008504_5315S02819|30034980
SHIP-TO|K15008573_5315S02819|30034987
SHIP-TO|K20003317_5315S02907|30034994
SHIP-TO|K20003660_5315S02811|30035001
SHIP-TO|K20004823_5315S02895|30035008
SHIP-TO|K20005712_5315S02830|30035015
PROJECTS-TO|K336899-001|917379
PROJECTS-TO|K338334-002|917386
PROJECTS-TO|K339334-001|917393
PROJECTS-TO|K339519-001|917399
PROJECTS-TO|K339717-001|917405
PROJECTS-TO|K339931-001|917411
PROJECTS-TO|K340552-001|917418
PROJECTS-TO|K342088-001|917425
PROJECTS-TO|K342447-002|917432
PROJECTS-TO|K343017-001|917439
PROJECTS-TO|K343285-002|917446
PROJECTS-TO|L320144-001|918287
PROJECTS-TO|L320398-001|918294
PROJECTS-TO|L320926-001|918301
PROJECTS-TO|L321144-002|918308
PROJECTS-TO|L321175-001|918315
PROJECTS-TO|L321417-001|918322
PROJECTS-TO|L321878-001|918329
PROJECTS-TO|L322170-001|918336
PROJECTS-TO|L322373-001|918343
PROJECTS-TO|L322647-001|918350
PROJECTS-TO|L322825-001|918357
CONTACT|A13003557_5637388326|80000771
CONTACT|A13003659_5637484326|80000812
CONTACT|A13003763_5637329577|80000824
CONTACT|A13004069_5637369102|80000841
CONTACT|A13004255_5637453578|80000872
CONTACT|A20003372_5637464577|80000899
CONTACT|A20016731_5637500077|80000926
CONTACT|A20032675_5637341076|80000961
CONTACT|A20036656_5637326076|80000973
CONTACT|A20038214_5637547578|80000982
CONTACT|A20039220_5637365576|80000990
SHIP-TO|E12805_SO/2101959|30003805
SHIP-TO|E13701_SO/2100486|30003812
SHIP-TO|E14659_SO/2007779|30003819
SHIP-TO|E16089_SO/2100106|30003826
SHIP-TO|E17979_SO/2100229|30003833
SHIP-TO|E18638_SO/2100461|30003840
SHIP-TO|E18903_SO/2100191|30003847
SHIP-TO|E19021_SO/2100095|30003854
SHIP-TO|E19021_SO/2100852|30003861
SHIP-TO|E19173_SO/2100145|30003868
SHIP-TO|E19343_SO/2100574|30003875
CONTACT|A13000114_C2046775|80000246
CONTACT|A13000118_C2035215|80000254
CONTACT|A13000137_C2019818|80000263
CONTACT|A13000166_C2175018|80000274
CONTACT|A13000200_C2115472|80000286
CONTACT|A13000212_C2016598|80000293
CONTACT|A13000222_C2021154|80000301
CONTACT|A13000258_C2019974|80000309
CONTACT|A13000271_C2113798|80000316
CONTACT|A13000288_C2099454|80000326
CONTACT|A13000359_C2053255|80000344
CONTACT|A13004280_C2117534|80000876
CONTACT|A13004304_C2128989|80000883
CONTACT|A20003224_C2020136|80000896
CONTACT|A20004496_C2069390|80000904
CONTACT|A20007047_C2034789|80000912
CONTACT|A20015310_C2121796|80000923
CONTACT|A20024316_C2126613|80000933
CONTACT|A20029215_C2127201|80000944
CONTACT|A20030324_C2111375|80000952
CONTACT|A20030873_C2114370|80000959
CONTACT|A20037395_C2136583|80000978
SHIP-TO|C11985_VA-186441|30001724
SHIP-TO|C11991_VA-182854|30001731
SHIP-TO|C12013_VA-183092|30001738
SHIP-TO|C12017_VA-181898|30001745
SHIP-TO|C12017_VA-183246|30001752
SHIP-TO|C12017_VA-185121|30001759
SHIP-TO|C12017_VA-186120|30001766
SHIP-TO|C12026_VA-182057|30001773
SHIP-TO|C12026_VA-184948|30001780
SHIP-TO|C12026_VA-186778|30001787
SHIP-TO|C12038_VA-182905|30001794
SHIP-TO|K20048027_5315S02901|30035250
SHIP-TO|L14001650_5314S07830|30035257
SHIP-TO|L14001750_5314S08002|30035264
SHIP-TO|L14001900_5314S07921|30035271
SHIP-TO|L14002090_5314S07879|30035278
SHIP-TO|L14002640_5314S07872|30035285
SHIP-TO|L14002660_5314S07944|30035292
SHIP-TO|L14002920_5314S07850|30035299
SHIP-TO|L14002920_5314S07989|30035306
SHIP-TO|L14002920_5314S08019|30035313
SHIP-TO|L14002920_5314S08042|30035320
PROJECTS-TO|M316733-001|919362
PROJECTS-TO|M321208-001|919369
PROJECTS-TO|M322765-002|919376
PROJECTS-TO|M324377-001|919383
PROJECTS-TO|M325637-001|919390
PROJECTS-TO|M326911-001|919397
PROJECTS-TO|M327585-001|919404
PROJECTS-TO|M328095-001|919411
PROJECTS-TO|M328544-002|919418
PROJECTS-TO|M329440-001|919425
PROJECTS-TO|M330392-001|919432
SHIP-TO|L14013280_5314S07979|30035715
SHIP-TO|L14013870_5314S07948|30035722
SHIP-TO|L14013950_5314S07869|30035729
SHIP-TO|L14014960_5314S08003|30035736
SHIP-TO|L14015760_5314S07891|30035743
SHIP-TO|L14017200_5314S07865|30035750
SHIP-TO|L14017200_5314S07929|30035757
SHIP-TO|L14017200_5314S08034|30035764
SHIP-TO|L14017930_5314S07835|30035771
SHIP-TO|L14018090_5314S07848|30035778
SHIP-TO|L14019660_5314S08025|30035785
SHIP-TO|C12220_VA-183114|30002109
SHIP-TO|C12220_VA-183430|30002116
SHIP-TO|C12220_VA-184210|30002123
SHIP-TO|C12220_VA-184757|30002130
SHIP-TO|C12220_VA-185684|30002137
SHIP-TO|C12220_VA-186668|30002144
SHIP-TO|C12230_VA-185871|30002151
SHIP-TO|C12234_VA-184063|30002158
SHIP-TO|C12235_VA-186380|30002165
SHIP-TO|C12249_VA-186201|30002172
SHIP-TO|C12250_VA-186504|30002179
SHIP-TO|F20035369_5317S02650|30034010
SHIP-TO|F20036924_5317S02689|30034017
SHIP-TO|F20042069_5317S02684|30034024
SHIP-TO|F20044033_5317S02670|30034031
