source|source_Material|source_MaterialPrefixed|target_Material|target_MaterialName|target_MaterialType
TimeXtender|0281.050-00001|G0281.050-00001|1000002245|IS-CMC LD-HL 36/36 MF -6000 LL15x40|ZFER
TimeXtender|0281.080-00002|G0281.080-00002|1000002253|IS-CMC LD-HL 28/15 A2 -6070 LL 9x25|ZFER
TimeXtender|0281.100-00002|G0281.100-00002|1000002260|IS-CMC MD-HL 50/40 HDG -6000 LL 18x40|ZFER
TimeXtender|0283.020-00003|G0283.020-00003|1000002270|IS-MSS MD-HZL 41/22 A4 -6000|ZFER
TimeXtender|0284.020-00003|G0284.020-00003|1000002281|IS-MSS MD-HZM 41/22  A4 -6070|ZFER
TimeXtender|0284.070-00003|G0284.070-00003|1000002311|IS-CMC MD-HZM 53/34 HDG -6070|ZFER
TimeXtender|0771.010-00032|G0771.010-00032|1000003160|CSF-FA 1- 225 0080-A4 FA SA|ZFER
TimeXtender|0771.020-00006|G0771.020-00006|1000003173|CSF-FA 2- 175 0240-A4 FA SA|ZFER
TimeXtender|0771.020-00017|G0771.020-00017|1000003183|CSF-FA 2- 200 0280-A4 FA SA|ZFER
TimeXtender|0771.020-00025|G0771.020-00025|1000003190|CSF-FA 2- 225 0200-A4 FA SA|ZFER
TimeXtender|DSD30S80D|EDSD30S80D|1000200343|SC DSD-S M 30-80 S3|ZFER
TimeXtender|DSDQ130H|EDSDQ130H|1000200355|SC DSD FQ 130-S2|ZFER
TimeXtender|DURCHLAUF0202RM|EDURCHLAUF0202RM|1000200366|DURCHLAUF RIPINOX|ZFER
TimeXtender|DURCHLAUF0303RM|EDURCHLAUF0303RM|1000200373|DURCHLAUF KRAGPLATTEN|ZFER
TimeXtender|EHLD30D|EEHLD30D|1000200380|SC E-HLD M 30 S3|ZFER
TimeXtender|0735.010-00059|G0735.010-00059|1000201170|LS-KKT-SHA-6000-10.0-L200-MF|ZFER
TimeXtender|0735.010-00070|G0735.010-00070|1000201180|LS-KKT-SHA-6000-20.0-L200-MF|ZFER
TimeXtender|0735.010-00131|G0735.010-00131|1000201192|LS-KKT-SHA-6000-1.3-L85-A4|ZFER
TimeXtender|0735.010-00174|G0735.010-00174|1000201199|LS-KKT-SHA-6000-5.0-L240-HDG|ZFER
TimeXtender|0735.030-00002|G0735.030-00002|1000201206|LS-KKT-SHAO-6002-2.5-L268-MF|ZFER
TimeXtender|0735.060-00007|G0735.060-00007|1000201213|LS-KKT-SHPA-6010-5.0-L110-MF|ZFER
TimeXtender|0735.070-00013|G0735.070-00013|1000201220|LS-KKT-SHRA-6050-15.0-L1080-MF|ZFER
TimeXtender|0735.200-00044|G0735.200-00044|1000201227|LS-KKT-SHPA-6010-2.5-L120-HDG|ZFER
TimeXtender|0735.200-00085|G0735.200-00085|1000201233|LS-KKT-SHA-6000-2.5-L170-HDG|ZFER
TimeXtender|0735.200-00108|G0735.200-00108|1000201240|LS-KKT-SHA-6000-7.5-L140-HDG|ZFER
TimeXtender|0052.070-00011|G0052.070-00011|1000001243|FI-4010- 20-M24x 705- B500B-GV|ZFER
TimeXtender|0054.010-00001|G0054.010-00001|1000001286|HBT  55- 8/15-1250 (24) TYP 1|ZFER
TimeXtender|0054.010-00102|G0054.010-00102|1000001293|HBT  55- 8/20- 800 (24) TYP 1|ZFER
TimeXtender|0054.020-00006|G0054.020-00006|1000001303|HBT  85-12/25-1250 (36) TYP 1|ZFER
TimeXtender|0054.040-00001|G0054.040-00001|1000001313|HBT 120- 8/15-1250 (24) TYP 5|ZFER
TimeXtender|0054.040-00104|G0054.040-00104|1000001324|HBT 120-10/15- 800 (30) TYP 5|ZFER
TimeXtender|0054.050-00007|G0054.050-00007|1000001333|HBT 150-12/15-1250 (36) TYP 5|ZFER
TimeXtender|0054.060-00004|G0054.060-00004|1000001347|HBT 190-10/15-1250 (30) TYP 5|ZFER
TimeXtender|0054.070-00001|G0054.070-00001|1000001362|HBT 220- 8/15-1250 (24) TYP 5|ZFER
TimeXtender|0054.070-00101|G0054.070-00101|1000001373|HBT 220- 8/15- 800 (24) TYP 5|ZFER
TimeXtender|209622030|C0209622030|1000200070|SC FPC-122-30|ZFER
TimeXtender|209628021|C0209628021|1000200077|SC FPC-128 V29-20|ZFER
TimeXtender|209634030|C0209634030|1000200084|SC FPC-134-30|ZFER
TimeXtender|209646030|C0209646030|1000200090|SC FPC-945-946-30|ZFER
TimeXtender|209660020|C0209660020|1000200097|SC FPC-960-970-20|ZFER
TimeXtender|209694020|C0209694020|1000200104|SC FPC-994-20|ZFER
TimeXtender|451102001|C0451102001|1000200111|AC CRET SILENT 984-10 S3|ZFER
TimeXtender|451102015|C0451102015|1000200118|AC CRET SILENT D 984-50 S3|ZFER
TimeXtender|451103005|C0451103005|1000200125|AC CRET SILENT 985-50 S3|ZFER
TimeXtender|451103016|C0451103016|1000200132|AC CRET SILENT D C985-60 S3|ZFER
TimeXtender|0052.070-00006|G0052.070-00006|1000001239|FI-4010- 16-M20x 560- B500B-GV|ZFER
TimeXtender|0052.070-00117|G0052.070-00117|1000001268|FI-4010- 25-M30x1555- B500B-FV|ZFER
TimeXtender|0054.010-00006|G0054.010-00006|1000001291|HBT  55-10/25-1250 (30) TYP 1|ZFER
TimeXtender|0054.020-00004|G0054.020-00004|1000001301|HBT  85-12/15-1250 (36) TYP 1|ZFER
