AXCustomeraccount;AXDataAreaId;SAPCustomeraccount;Migrate
20024332;5316;50024920;Y
16100079;5316;50024073;Y
20038915;5316;50025706;Y
20043176;5316;;N
20035714;5316;50025355;Y
20035707;5316;;N
20046208;5316;;N
20035827;5316;;N
20047514;5316;;N
20035711;5316;50025354;Y
20035371;5316;;N
16100071;5316;50024072;Y
20036268;5316;;N
20026440;5316;;N
20002757;5316;50024099;Y
20037105;5316;;N
20038129;5316;50025619;Y
20030912;5316;50025103;Y
20044295;5316;;N
20038745;5316;50025688;Y
20028146;5316;50025024;Y
20025424;5316;50024956;Y
20029949;5316;50025068;Y
20018480;5316;50024772;Y
20030746;5316;50025097;Y
20039603;5316;;N
20028817;5316;50025037;Y
20039488;5316;;N
20009166;5316;50024461;Y
20028635;5316;50025036;Y
20039567;5316;50025794;Y
20010346;5316;;N
16100065;5316;50024071;Y
20039109;5316;50025732;Y
20036135;5316;;N
20046188;5316;50026625;Y
20030966;5316;50025107;Y
20042591;5316;50026128;Y
19090;ANCH;50006017;Y
20036722;5308;;N
16100101;5316;50024074;Y
20037988;5316;50025599;Y
18400009;5308;50028433;Y
20009187;5308;50028451;Y
19500;ANAT;;N
18400031;5308;50028439;Y
16999991;5316;;N
20002514;5316;;N
20048270;5316;50026866;Y
20002490;5316;;N
20014900;5316;50024644;Y
20045846;5316;50026583;Y
20036737;5316;50025467;Y
20029504;5316;50025056;Y
20036789;5316;50025469;Y
20032186;5316;50025150;Y
20017448;5316;50024729;Y
20025504;5316;50024961;Y
20041772;5316;50026027;Y
20032628;5316;50025174;Y
20046983;5316;;N
20042517;5316;50026120;Y
20048023;5316;50026837;Y
20016548;5316;50024694;Y
20040310;5316;50025881;Y
20010239;5316;50024491;Y
20041144;5316;50025968;Y
20002982;5316;50024122;Y
20024109;5316;50024917;Y
20013767;5316;50024615;Y
20043812;5316;50026299;Y
20040299;5316;50025879;Y
16000616;5316;50023874;Y
20045429;5316;50026531;Y
20025426;5316;50024957;Y
20004163;5316;50024189;Y
20010123;5316;50024484;Y
20032233;5316;50025153;Y
20032380;5316;50025155;Y
20007360;5316;50024386;Y
20041900;5316;50026046;Y
20021905;5316;50024860;Y
20039962;5316;50025844;Y
20038711;5316;50025680;Y
20043208;5316;50026196;Y
20038924;5316;50025709;Y
20042686;5316;50026137;Y
20042316;5316;50026094;Y
16000990;5316;50023897;Y
20033117;5316;50025193;Y
20038037;5316;50025607;Y
20045891;5316;50026592;Y
20038229;5316;50025629;Y
20043704;5316;50025629;D
20037997;5316;50025601;Y
20013297;5316;50024597;Y
20032035;5316;50025138;Y
20039249;5316;50025756;Y
20031477;5316;50025119;Y
20039806;5316;50025824;Y
16000362;5316;50000442;Y
20030877;5316;50025101;Y
20035572;5316;50025338;Y
20046707;5316;50026689;Y
20042873;5316;50026155;Y
20045983;5316;50026603;Y
20013076;5316;50024592;Y
20043453;5316;50026240;Y
20039208;5316;50025746;Y
20046500;5316;;N
20046574;5316;50026670;Y
20048707;5316;50026921;Y
20036870;5316;50025479;Y
20003764;5316;50024160;Y
20006170;5316;50024325;Y
20036220;5316;50025408;Y
20030114;5316;50025075;Y
20004826;5316;50024233;Y
20017331;5316;50024724;Y
20035513;5316;50025331;Y
20041500;5316;50026003;Y
20025162;5316;50024947;Y
20041445;5316;50025993;Y
20032536;5316;50025164;Y
20003864;5316;50024168;Y
20046537;5300;50011872;D
20027704;5316;50025013;Y
20016829;5316;50024705;Y
20043832;5316;50026303;Y
20045150;5316;50026486;Y
20027529;5316;50025011;Y
20009828;5316;50024473;Y
20015740;5316;50024670;Y
20038247;5316;50025630;Y
16000148;5316;50023827;Y
20023244;5316;50024899;Y
20036229;5316;50025410;Y
20043174;5316;50026188;Y
20044793;5316;50026421;Y
20036575;5316;50025450;Y
20020307;5316;50024818;Y
20003207;5316;50024133;Y
20008843;5316;50024450;Y
20047764;5316;50026809;Y
20036279;5316;50025415;Y
20019438;5316;50024801;Y
20003888;5316;;N
20034543;5316;50025256;Y
16002347;5316;50023969;Y
20043440;5316;50026237;Y
20018718;5316;50024785;Y
20034578;5316;50025258;Y
20005222;5316;50024265;Y
20048198;5316;50026855;Y
20047526;5316;;N
20048635;5316;50026910;Y
20018220;5316;50024766;Y
16002175;5316;50023959;Y
20008537;5316;50024438;Y
20046482;5316;50026660;Y
20048513;5316;50026893;Y
16003191;5316;50024039;Y
20037493;5316;50025547;Y
20016114;5316;50024680;Y
20038742;5316;50025687;Y
20042944;5316;50026165;Y
20038803;5316;50025692;Y
20042138;5316;50026069;Y
20033835;5316;50025225;Y
20042412;5316;50026106;Y
20046799;5316;50026697;Y
20010750;5316;50024505;Y
20035417;5316;50025313;Y
20022735;5316;50024884;Y
20038612;5316;50025669;Y
20041058;5316;50025961;Y
20039554;5316;50025793;Y
20034858;5316;50025272;Y
20039202;5316;;N
20016355;5316;50024689;Y
20041996;5316;50026059;Y
20013479;5316;50024606;Y
20004468;5316;50024206;Y
20044051;5316;50026335;Y
20003488;5316;50024145;Y
16000055;5316;50023807;Y
20047374;5316;50026765;Y
16002548;5316;50023981;Y
20040118;5316;50025863;Y
20039464;5316;50025783;Y
20015214;5316;50024650;Y
20043250;5316;50026200;Y
16000479;5316;50023854;Y
20003844;5316;50024166;Y
20034943;5316;50025276;Y
16002495;5316;50023979;Y
20039355;5316;50025769;Y
20033259;5316;50025198;Y
20038044;5316;50025608;Y
20020755;5316;50024832;Y
20022613;5316;50024878;Y
20040316;5316;50025882;Y
16000454;5316;50023852;Y
20039266;5316;50025757;Y
20015732;5316;50024669;Y
16000480;5316;50023855;Y
20043269;5316;50026204;Y
20011154;5316;50024521;Y
20026054;5316;50024979;Y
20010056;5316;50024482;Y
20042257;5316;50026085;Y
20032150;5316;50025145;Y
20040688;5316;50025930;Y
20037721;5316;;N
20017896;5316;50024753;Y
20006941;5316;50024359;Y
20040505;5316;50025911;Y
20046244;5316;;N
20038537;5316;50025658;Y
20043188;5316;50026190;Y
20046033;5316;50026609;Y
20005981;5316;50024306;Y
20005198;5316;50024264;Y
20040820;5316;50025940;Y
20044709;5316;;N
20036551;5316;;N
20044252;5316;50026353;Y
20026093;5316;50024982;Y
20042803;5316;50026144;Y
20024497;5316;50024929;Y
16000114;5316;50023818;Y
16000129;5316;50023821;Y
20043525;5316;50026254;Y
20009886;5316;50024475;Y
16000845;5316;50023886;Y
20013418;5316;50024602;Y
20038957;5316;50025714;Y
16001512;5316;50023933;Y
20046918;5316;50026712;Y
20005788;5316;50024297;Y
20038588;5316;50025665;Y
20017240;5316;50024720;Y
16000088;5316;50023812;Y
20034364;5316;50025241;Y
20042954;5316;50026166;Y
16001679;5316;50023945;Y
20028237;5316;50025026;Y
20031554;5316;50025123;Y
20042913;5316;50026159;Y
20041557;5316;50026008;Y
20020853;5316;;N
20044246;5316;50026352;Y
20035201;5316;50025295;Y
20035719;5316;50025356;Y
20040093;5316;50025860;Y
20037960;5316;50025595;Y
20016949;5316;50024708;Y
20035060;5316;50025283;Y
20036538;5316;50025447;Y
20042935;5316;50026161;Y
16002330;5316;;N
20041956;5316;50026055;Y
20039575;5316;50025796;Y
20007768;5316;50024399;Y
20042822;5316;50026148;Y
20034816;5316;50025270;Y
16000561;5316;50023863;Y
20022381;5316;50024874;Y
20043384;5316;50026226;Y
20020807;5316;50024834;Y
20005983;5316;50024307;Y
20006018;5316;50024310;Y
20035035;5316;50025281;Y
20003255;5316;50024137;Y
20035608;5316;50025344;Y
20026427;5316;50024987;Y
20044147;5316;50026346;Y
20034296;5316;50025240;Y
20012961;5316;50024587;Y
20040596;5316;;N
16003262;5316;50024042;Y
20007038;5316;50024368;Y
20036960;5316;50025492;Y
20039389;5316;50025774;Y
20006224;5316;50024328;Y
20020017;5316;50024812;Y
20035853;5316;50025376;Y
20036821;5316;50025472;Y
20047682;5316;50026802;Y
20047083;5316;50026727;Y
20028225;5316;50025025;Y
20034586;5316;50025259;Y
20036199;5316;50025405;Y
20004520;5316;50024209;Y
20036697;5316;50025459;Y
20023952;5316;50024913;Y
20048584;5316;50026905;Y
20002634;5316;50024085;Y
20036524;5316;;N
20038444;5316;50025648;Y
20031536;5316;50025121;Y
20038844;5316;50025699;Y
20044759;5316;50026417;Y
20037228;5316;50025523;Y
20045397;5316;50026525;Y
20006871;5316;50024353;Y
20034473;5316;50025249;Y
20040432;5316;50025899;Y
20040340;5316;50025885;Y
20044706;5316;50026408;Y
20003964;5316;50024174;Y
16001150;5316;50023910;Y
20043302;5316;50026213;Y
20019894;5316;50024810;Y
16003065;5316;50024026;Y
16002455;5316;50023977;Y
20045177;5316;50026492;Y
20007087;5316;50024371;Y
20006330;5316;50024334;Y
20026669;5316;50024992;Y
20035857;5316;50025377;Y
