Customer,CompanyID,UniqueCustomerNumber,CustName,Parent_Name,CustSegment,CustCategory,SalesGroup,RSM,LineDisc,STATE,DateOpened,CreatedDate,LTMsales,NewHalfenCust,CSG,InsideOutside,InsideFlag,Region,CustomerPillar,Country
002038,045,045-002038,WC Parent Company,White Cap,White Cap,Distributor,House,Con-Fab,Whitecap,FL,12/14/2010,12/14/2010," 7,101,711 ",,CSG,O,,South,Other,US
001213,045,045-001213,Tindall Concrete Corp- SC,Tindall Concrete Corp,Prestress Producer,Prestress Producer,JeffMyers,Prec-Pres,PrecastA,SC,1/1/1992,11/27/2010," 2,927,618 ",,,O,,South,Precast,US
005574,045,045-005574,Tas Energy Inc,TAS Energy,,,HOUSE,con-fab,,TX,9/22/2020,9/22/2020," 2,380,575 ",,,O,,South,Other,US
000779,045,045-000779,Tindall Concrete Corp- VA,Tindall Concrete Corp,Prestress Producer,Prestress Producer,GaryPascoe,Prec-Pres,PrecastA,SC,5/10/1994,11/27/2010," 2,287,966 ",,,O,,South,Precast,US
002627,045,045-002627,WC Rental Billing,White Cap,White Cap,Distributor,House,Con-Fab,Whitecap,FL,1/20/2012,1/20/2012," 2,099,250 ",,CSG,O,,South,Other,US
001735,045,045-001735,Wc Sacramento #34,White Cap,White Cap,Distributor,DwightWeev,Con-Fab,Whitecap,CA,11/3/2004,11/27/2010," 1,995,110 ",,CSG,O,,West,Other,US
001146,045,045-001146,Tindall Concrete Corp- GA,Tindall Concrete Corp,Prestress Producer,Prestress Producer,JeffMyers,Prec-Pres,PrecastA,GA,1/1/1992,11/27/2010," 1,739,418 ",,,O,,South,Precast,US
000687,045,045-000687,WC McCarty #151, ,White Cap,Distributor,GregHolsho,Con-Fab,Whitecap,IN,8/26/2005,11/27/2010," 1,686,772 ",,CSG,O,,North,Other,US
003939,045,045-003939,WC W Phoenix #12,White Cap,White Cap,Distributor,DwightWeev,Con-Fab,Whitecap,AZ,11/14/2019,11/14/2019," 1,585,043 ",,CSG,O,,West,Other,US
000695,045,045-000695,WC Gilberts #606,White Cap,White Cap,Distributor,GregHolsho,Con-Fab,Whitecap,IL,5/5/2008,11/27/2010," 1,470,995 ",,CSG,O,,North,Other,US
